"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Empirical Study on Real Time People Counting using Deep Learning","H. Nagolu; S. Sahu","Department of CSE, GMR Institute of Technology, Rajam, India; Department of CSE, GMR Institute of Technology, Rajam, India","2023 10th International Conference on Computing for Sustainable Global Development (INDIACom)","4 May 2023","2023","","","1","4","In this digital era, many crowd-counting systems still rely on old-fashioned approaches like keeping registers, using people counters, and using sensors to count people at the door. These strategies are ineffective in situations where people's movement is fully random, extremely unpredictable, and dynamic. Video surveillance plays a key role in monitoring people in several places. Using videos from this video surveillance in algorithms like Median Flow,” Minimum Output Sum of Squared Error” (MOSSE), “Generic Object Tracking Using Regression Networks” (GOTURN), kernelized filters designed with deep learning can track the objects and count the people or customers and correlation filters like “Single Shot Detector” (SSD) to count the number of individuals entering and leaving a location. This paper gives a review of the above algorithms.","","978-93-80544-47-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10112438","Video surveillance;single shot detector;deep learning;counting;line of control","Deep learning;Webcams;Object detection;Filtering algorithms;Streaming media;Video surveillance;Sensor systems","","","","20","","4 May 2023","","","IEEE","IEEE Conferences"
"Visible and Infrared Image Fusion Using Deep Learning","X. Zhang; Y. Demiris","Department of Electrical and Electronic Engineering, Personal Robotics Laboratory, Imperial College London, London, U.K.; Department of Electrical and Electronic Engineering, Personal Robotics Laboratory, Imperial College London, London, U.K.","IEEE Transactions on Pattern Analysis and Machine Intelligence","30 Jun 2023","2023","45","8","10535","10554","Visible and infrared image fusion (VIF) has attracted a lot of interest in recent years due to its application in many tasks, such as object detection, object tracking, scene segmentation, and crowd counting. In addition to conventional VIF methods, an increasing number of deep learning-based VIF methods have been proposed in the last five years. Different types of methods, such as CNN-based, autoencoder-based, GAN-based, and transformer-based methods, have been proposed. Deep learning-based methods have undoubtedly become dominant methods for the VIF task. However, while much progress has been made, the field will benefit from a systematic review of these deep learning-based methods. In this paper we present a comprehensive review of deep learning-based VIF methods. We discuss motivation, taxonomy, recent development characteristics, datasets, and performance evaluation methods in detail. We also discuss future prospects of the VIF field. This paper can serve as a reference for VIF researchers and those interested in entering this fast-developing field.","1939-3539","","10.1109/TPAMI.2023.3261282","European Union's Horizon 2020 Research and Innovation Programme; Marie Skłodowska-Curie(grant numbers:101025274); Royal Academy of Engineering Chair in Emerging Technologies; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10088423","Deep learning;image fusion;multimodal fusion;RGB-T;visible-infrared image fusion","Image fusion;Transformers;Deep learning;Task analysis;Object tracking;Matlab;Learning systems","Deep Learning;Algorithms","16","","200","IEEE","30 Mar 2023","","","IEEE","IEEE Journals"
"Rapid Detection of Pilgrims Whereabouts During Hajj and Umrah by Wireless Communication Framework : An application AI and Deep Learning","M. Alhameed; M. A. Hossain","College of Computer Science & Information Technology, JAZAN UNIVERSITY, Jazan, Kingdom of Saudi Arabia; Department of Computer Science, College of CS & IT, JAZAN UNIVERSITY, Jazan, Kingdom of Saudi Arabia","2023 International Conference on Emerging Smart Computing and Informatics (ESCI)","19 Apr 2023","2023","","","1","6","Human injuries and deaths occur often during public events like concerts, religious services, and political rallies because of a lack of proper crowd safety oversight. A small disaster can trigger panic in a huge crowd. Many intelligent video surveillance solutions can identify things, but despite the recent developments in artificial intelligence approaches and deep learning processes, it is very probable to track congested crowds and their mobility to avoid future detection disasters. Searching for points of interest makes use of movement analytics and classification to provide a superior platform for monitoring large crowds. The purpose of point-of-interest explorations is to aid in the management of the safety of moveable crowd events by assisting in the prediction and prevention of future disasters through the classification and analysis of real-time information gathered from crowds. Current surveillance cameras are insufficient for monitoring large crowds in outdoor locations due to their inability to scale. We believe that by using our proposed crowd analysis strategy, we may help enhance the current state of crowd safety management. Among the many aspects of crowd motion, we pay special attention to the difficulties of determining the identity, velocity, and direction of individuals inside the group. We then used these crowd-level semantics to monitor test POI searches in both a controlled lab environment and a real-world crowd. Findings from this study imply that POI searching can be utilized to help prevent harmful circumstances brought on by the movement of large crowds by recognizing the characteristics of mobile crowds in real time.","","978-1-6654-7524-2","10.1109/ESCI56872.2023.10099969","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10099969","crowd congestion tracking;POI searching;artificial intelligence;machine learning;disaster preventive technique","Deep learning;Wireless communication;Tracking;Smart cities;Semantics;Streaming media;Video surveillance","","4","","25","IEEE","19 Apr 2023","","","IEEE","IEEE Conferences"
"Estimation of Social Distance for COVID19 Prevention using K-Nearest Neighbor Algorithm through deep learning","A. Arul Raj; R. Sugumar","Department of Computer Science and Engineering, Saveetha School of Engineering, Saveetha Institute of Medical And Technical Sciences, Chennai, Tamil Nadu; Department of Computer Science and Engineering, Saveetha School of Engineering, Saveetha Institute of Medical And Technical Sciences, Chennai, Tamil Nadu","2022 IEEE 2nd Mysore Sub Section International Conference (MysuruCon)","13 Dec 2022","2022","","","1","6","Coronavirus disease has a crisis with high spread throughout the world during the COVID19 pandemic period. This disease can be easily spread to a group of people and increase the spread. Since it is a worldly disease and not plenty of vaccines available, social distancing is the only best approach to defend against the pandemic situation. All the affected countries' governments declared locked-down to implement social distancing. This social separation and persons not being in a mass group can slow down the spread of COVID19. It reduces the physical contact between infected persons and normal healthy persons. Almost every health organization tells that to follow social distancing people should maintain at least 6 feet of distance from each other. This research proposes a deep learning approach for social distancing which is developed for tracking and detecting people who are in indoor as well as outdoor scenarios using YOLO V3 video analytic technique. This approach focuses to inspect whether the people are maintaining social distancing in many areas, using surveillance video with measuring the distance in real-time performance. Most of the early studies of detecting social distance monitoring were based on GPS for tracking the movements of people where the signals could be lost. On the other hand, some countries use drones to detect large gatherings of people who cannot have a clear view at night times [10]. In the future, the proposed system can be used fully for detecting threats in the public crowded or it can detect any person affected by critical situations (ie fainting, Cordia arrest) or planting the crops in the forms evenly with a uniform measurement. This proposal could be used in many fields like crowd analysis, autonomous vehicles, and human action recognition and could help the government authorities to redesign the public place layout and take precautionary action in the risk zones. This system analyses the social distancing of people by calculating the distance between people to slow downing the spread of the COVID 19 virus.","","978-1-6654-9790-9","10.1109/MysuruCon55714.2022.9972422","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9972422","Social distancing;supervised learning algorithm;Object detection;Crowd analysis;covid-19","COVID-19;Deep learning;Pandemics;Tracking;Visual analytics;Government;Human factors","","1","","11","IEEE","13 Dec 2022","","","IEEE","IEEE Conferences"
"DeepSORT: Real Time & Multi-Object Detection and Tracking with YOLO and TensorFlow","A. Pujara; M. Bhamare","School of Computer Engineering & Technology, MIT World Peace University, Pune, India; School of Computer Engineering & Technology, MIT World Peace University, Pune, India","2022 International Conference on Augmented Intelligence and Sustainable Systems (ICAISS)","16 Jan 2023","2022","","","456","460","One of the most significant and challenging areas of computer vision is object recognition and tracking, which is extensively utilised in many industries including health care monitoring, autonomous driving, anomaly detection, etc. The tracking of moving objects in videos is actively researched over the past two decades due to its practical applications in many fields such as event analysis, human-computer interaction, crowd analysis, video surveillance, behaviour analysis, etc. The effectiveness of object trackers and detectors has significantly increased with the rapid advancement of deep learning (DL) networks and GPU processing capability. New methods have been presented for object recognition and tracking in video as a result of extensive study in this field. This article addressed the several processes of object tracking in video sequences: object detection, object classification, and object tracking, in order to comprehensively comprehend the key advancements in the object detection and tracking pipeline. Additionally, we thoroughly examine the various approaches available for object recognition, categorization, and tracking.","","978-1-6654-8962-1","10.1109/ICAISS55157.2022.10011018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10011018","Background subtraction;Human detection;Object detection;Object tracking;Video surveillance","Industries;Video sequences;Pipelines;Object detection;Medical services;Video surveillance;Real-time systems","","4","","22","IEEE","16 Jan 2023","","","IEEE","IEEE Conferences"
"Locating people in Real-World for Assisting Crowd Behaviour Analysis Using SSD and Deep SORT Algorithm","P. Juyal; S. Sharma","Department of Computer Science and Engineering, Graphic Era Deemed to be University, Dehradun, India; Department of Computer Science and Engineering, Graphic Era Deemed to be University, Dehradun, India","2021 Sixth International Conference on Wireless Communications, Signal Processing and Networking (WiSPNET)","11 May 2021","2021","","","350","353","In security-sensitive areas, tracking individuals can be of high importance or may even be used to understand crowd activity, how people change their movement within the crowd or most common shops. Crowd activity trends can help to determine the most common locations of public places, which can help attract a wider audience in advertising placement. A growing concern has been public safety; it can be a harrowing experience to track these mischievous elements inside the crowd. This paper provides an approach that can map people with a geographical coordinate, which denotes an individual's realtime position in the real world through a camera feed. This data helps us to track the road, the direction of motion and where a person has turned on a map. These insights include descriptions of in-depth crowd movement that can assist with better surveillance and evaluating crowd activity.","","978-1-6654-4086-8","10.1109/WiSPNET51692.2021.9419455","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9419455","Monitoring;Real-time systems;Image edge detection;Visual analytics;Data visualization;Deep learning","Wireless communication;Tracking;Surveillance;Roads;Image edge detection;Signal processing algorithms;Signal processing","","7","","20","IEEE","11 May 2021","","","IEEE","IEEE Conferences"
"Multi-Scale Occluded Pedestrian Detection Based on Deep Learning","Z. Pan","Liuzhou Railway Vocational Technical College, Liuzhou, Guangxi, India","2023 International Conference on Evolutionary Algorithms and Soft Computing Techniques (EASCT)","22 Jan 2024","2023","","","1","6","With the intensification of urbanization, the number of pedestrians in densely populated areas is showing an explosive growth trend, which brings new challenges to the technological advancement of urban traffic management, intelligent security, and other fields. Pedestrian detection in densely populated areas is an important task aimed at achieving real-time recognition and tracking of all pedestrians in a specific area. This article proposes a multi-scale occluded pedestrian detection method based on deep learning. This method can effectively detect occluded pedestrians by introducing multi-scale feature maps and occlusion detection modules. The experimental results indicate that Faster RCNN has high accuracy in detecting occluded pedestrians and can be applied to pedestrian detection tasks in practical scenarios. Deep learning algorithms can be used to effectively measure the occlusion of pedestrians. Multi-scale detection methods allow for accurate detection of pedestrians at different scales. By using deep learning algorithms, patterns with masked pedestrian features can be automatically learned and judged during the detection process.","","979-8-3503-1341-3","10.1109/EASCT59475.2023.10393467","Guangxi University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10393467","deep learning;multi scale analysis;target detection;pedestrian occlusion processing method","Deep learning;Pedestrians;Satellites;Urban areas;Feature extraction;Robustness;Sensors","","","","20","IEEE","22 Jan 2024","","","IEEE","IEEE Conferences"
"Object tracking and counting in a zone using YOLOv4, DeepSORT and TensorFlow","S. Kumar; Vishal; P. Sharma; N. Pal","Computer Science & Engineering, Delhi Technological University, Delhi, India; Computer Engineering, Delhi Technological University, Delhi, India; Computer Engineering, Delhi Technological University, Delhi, India; Computer Engineering, Delhi Technological University, Delhi, India","2021 International Conference on Artificial Intelligence and Smart Systems (ICAIS)","12 Apr 2021","2021","","","1017","1022","The main objective of this research work is to solve multiple object tracking problems in a given frame, wherein the proposed model intends to identify and track various objects. The problem has been solved in three stages viz. detecting, identifying, and tracking the object in a particular zone, i.e., but it is observed that something more could be done in this field, mostly the MOT-A score was not up to the mark; hence the proposed research work utilized Kalman filters for obtaining enhanced results and compared the obtained MOT-A metric with previous works, and the results were good. Object detection and recognition occur via the YOLO algorithm, which enables us to classify the objects into 80 classes. Then, Motion Prediction and feature generation occur in which an estimation model is created, and Kalman filters are used to model these states for capturing moving objects in the frame. Finally, tracking takes place with Kalman filters in the previous frame, and newly detected objects are placed in the current frame, after which an association is made for new detection. All this is done via the DeepSORT algorithm, which is essentially a Deep association metric with the SORT algorithm. Here, Kalman filters are used as they improved the accuracy of the proposed model and yielded better results. On the same lines, YOLO is used to perform object detection and recognition at the same time. It is also a detector, which by applying a single neural network, it can predict the bounding boxes and perform multi-class classification. This problem can have various applications, especially in traffic management. It can also prevent people from gathering during COVID times and raising an alert for all the authorities. Hence, this is a multidisciplinary approach wherein the work of object detection is being used in various fields like crowd assembling, Surveillance, Animal management in Zoo/Biodiversity parks as well as in the case of traffic systems as well. The real motivation behind this work was using the state-of-the-art technology to solve the modern-day problems. Manually human vigilance in large areas is a utopian task and especially when surveillance and security is big threat out there. Adding to it is the COVID Pandemic which has claimed millions of lives and yet vaccination is a still a dream yet to be realized. Hence, cluster identification problem is considered and also the ways to solve this challenge using the state-of-the-art technology. Once it has been achieved, it is initiated further to find more applications of this technology in various other domains and found out how it is applied in various use cases in case of crowd gathering at a single point and how this is a similar problem in case of animal gathering at a point and how forest rangers can solve the problem in a more efficient way.","","978-1-7281-9537-7","10.1109/ICAIS50930.2021.9395971","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9395971","Kalman Filters;Multiple Object Tracking;DeepSORT;YOLOv4;Target tracking;TensorFlow;Image Processing;Image Segmentation","Measurement;Surveillance;Object detection;Predictive models;Kalman filters;Object recognition;Security","","16","","17","IEEE","12 Apr 2021","","","IEEE","IEEE Conferences"
"Crowd Evacuation Simulation Using Hierarchical Deep Reinforcement Learning","Z. Zhang; D. Lu; J. Li; P. Liu; G. Zhang","School of Information Science and Engineering, Shandong Normal University, Jinan, China; State Key Laboratory of High-end Server & Storage Technology, Jinan, China; School of Information Science and Engineering, Shandong Normal University, Jinan, China; Business School, Guilin University of Electronic Technology, Guilin, China; School of Information Science and Engineering, Shandong Normal University, Jinan, China","2021 IEEE 24th International Conference on Computer Supported Cooperative Work in Design (CSCWD)","28 May 2021","2021","","","563","568","Data-driven crowd evacuation learning methods are often used to enhance the realism of crowd simulation. However, the learning results of traditional methods cannot adapt to the dynamic changes of the simple scene, and thus have the disadvantage of poor generalization. To solve this problem, we propose a data-driven crowd evacuation framework based on hierarchical deep reinforcement learning. The framework consists of: a macro-control layer with path programming function and a micro control layer with collision avoidance function. In this paper, a path programming method combining data-driven and deep reinforcement learning is proposed in the macro-control layer. The method combines the pedestrian motion attributes in the video with the DDPG algorithm to learn the pedestrian track in the video from a macro perspective. In the micro-control layer, the track sequence learned in the macro-control layer is used as the motion target to learn the collision-free motion velocity of individuals using the multiple agent deep reinforcement learning method. When the scene changes, the micro-control layer adaptively adjusts the motion speed without the need for the macro-control layer to repeat the path programming learning. The experimental results demonstrate that the proposed hierarchical crowd evacuation framework can not only simulate the real crowd movement behavior and improve the simulation fidelity, but also flexibly adapt to the dynamic changes of the simple scene and enhance the generalization.","","978-1-7281-6597-4","10.1109/CSCWD49262.2021.9437632","National Natural Science Foundation of China(grant numbers:61972237,61876102,61762029); Natural Science Foundation of Shandong Province(grant numbers:ZR2020LZH003); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9437632","Crowd evacuation;Route programming;Collision avoidance;Deep reinforcement learning","Training;Learning systems;Adaptation models;Target tracking;Conferences;Computational modeling;Dynamics","","10","","18","IEEE","28 May 2021","","","IEEE","IEEE Conferences"
"Automated Pedestrian Tracking Based on Improved ByteTrack","Q. Zhang; F. Yang; F. Li; Z. Fei; Y. Xie; D. Deng","Systems Engineering Institute, AMS, PLA, Beijing, China; Systems Engineering Institute, AMS, PLA, Beijing, China; Systems Engineering Institute, AMS, PLA, Beijing, China; Systems Engineering Institute, AMS, PLA, Beijing, China; Systems Engineering Institute, AMS, PLA, Beijing, China; Systems Engineering Institute, AMS, PLA, Beijing, China","2023 IEEE 23rd International Conference on Communication Technology (ICCT)","12 Feb 2024","2023","","","552","557","In order to augment the robustness of pedestrian tracking in video sequences, we offer an enhanced automatic pedestrian tracking method that is based on the ByteTrack framework. The objective of the proposed approach is to tackle the issue of missed detections and trajectory loss in pedestrian tracking due to dense occlusion. The achievement of multi-object pedestrian tracking is realized through the integration of YOLOX-CF, an enhanced iteration of YOLOX, in conjunction with the BYTE tracking approach. In order to improve the ability of the network to detect pedestrians in various places, we have incorporated the coordinate attention (CA) module into the feature extraction network of YOLOX. In addition, we want to tackle the complex issue of crowd occlusion in pedestrian objects by proposing the utilization of focus loss as a confidence loss function. The above function aims to achieve weight balance between positive and negative samples, hence enhancing the network's attention on problematic samples. The experimental results obtained from the MOT17 dataset demonstrate a notable enhancement in both the mean Average Precision (mAP) and Multiple Object Tracking Accuracy (MOTA) as compared to the first approach. We observe a notable enhancement of 3.1 percentage points in mAP and 3.4 percentage points in MOTA. Furthermore, with the transformation of the model into TensorRT, the rate of inference improves to 126 frames per second (FPS) when executed on a single 2080Ti GPU. The proposed methodology offers enhanced efficacy in real-time pedestrian tracking within the context of autonomous driving, beyond the capabilities of the original.","2576-7828","979-8-3503-2595-9","10.1109/ICCT59356.2023.10419387","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10419387","YOLOX;ByteTrack;Deep Learning;Multi-object Tracking","Pedestrians;Video sequences;Graphics processing units;Inference algorithms;Real-time systems;Object tracking;Task analysis","","","","18","IEEE","12 Feb 2024","","","IEEE","IEEE Conferences"
"Multiple Object Tracking algorithm based on cluster cooperative motion constraint","H. Wang; G. Tan; D. Xu","School of Automation, Central South University, Changsha, China; School of Automation, Central South University, Changsha, China; School of Automation, Central South University, Changsha, China","2023 35th Chinese Control and Decision Conference (CCDC)","1 Dec 2023","2023","","","2956","2962","Multi-target tracking is one of the key research fields of computer vision. Existing methods mainly focus on inferring robust and discriminative features for data association based on targets generated by existing detectors. However, these methods independently process each target when generating the trajectory. In contrast, we propose a new multi-target tracking algorithm, which utilizes spatiotemporal cooperative motion constraints. Our algorithm makes use of the cooperative effect of crowd movement, which means that objects in close range tend to move in a more consistent way. We group several objects with consistent mobility into a cluster. We introduce an affinity matrix to measure the synergy and similarity of the movement between targets in the same cluster. When the target is occluded, the affinity matrix can be used to recover the lost track. We evaluated our approach on the MOT challenge benchmark and proved its effectiveness.","1948-9447","979-8-3503-3472-2","10.1109/CCDC58219.2023.10326540","National Natural Science Foundation of China; Research and Development; State Key Laboratory of Robotics; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10326540","Multi-Object Tracking;cluster cooperative motion constraint;motion state estimation","Target tracking;Sociology;Redundancy;Clustering algorithms;Feature extraction;Trajectory;Spatiotemporal phenomena","","","","23","IEEE","1 Dec 2023","","","IEEE","IEEE Conferences"
"Towards Understanding and Inferring the Crowd: Guided Second Order Attention Networks and Re-identification for Multi-object Tracking","N. Bhujel; L. Jun; Y. W. Yun; H. Wang","School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; the Institute for Infocomm Research, A*STAR, Singapore; the Institute for Infocomm Research, A*STAR, Singapore; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore","2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","10 Feb 2021","2020","","","9999","10006","Multi-human tracking in the crowded environment is a challenging problem due to occlusions, pose change, viewpoint variation and cluttered background. In this work, we propose a robust feature learning for tracking-by-detection methods based on second-order attention network that can capture higher-order relationships between salient features at the early stages of Convolutional Neural Network (CNN). Guided Second-Order Attention Network (GSAN) that, unlike the existing attention learning methods which are weakly-supervised, uses a supervisory signal based on the quality of the self-learned attention maps. More specifically, GSAN looks into the attended maps of a person having the highest confidence and supervise itself to look into the correct regions in the images of the person. Attention maps learned this way are spatially aligned and thus robust to camera-view changes and body pose variations. We verify the effectiveness of our approach by comparing with the state-of-the-art methods on challenging person re-identification and multi object tracking (MOT) datasets.","2153-0866","978-1-7281-6212-6","10.1109/IROS45743.2020.9341625","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341625","","Learning systems;Benchmark testing;Object tracking;Convolutional neural networks;Clutter;Intelligent robots;Faces","","1","","44","IEEE","10 Feb 2021","","","IEEE","IEEE Conferences"
"REGROUP: A Robot-Centric Group Detection and Tracking System","A. Taylor; L. D. Riek","Computer Science & Engineering, University of California, San Diego; Computer Science & Engineering, University of California, San Diego","2022 17th ACM/IEEE International Conference on Human-Robot Interaction (HRI)","29 Sep 2022","2022","","","412","421","To facilitate HRI's transition from dyadic to group interaction, new methods are needed for robots to sense and understand team behavior. We introduce the Robot-Centric Group Detection and Tracking System (REGROUP), a new method that enables robots to detect and track groups of people from an ego-centric perspective using a crowd-aware, tracking-by-detection approach. Our system employs a novel technique that leverages person re-identification deep learning features to address the group data association problem. REGROUP is robust to real-world vision challenges such as occlusion, camera egomotion, shadow, and varying lighting illuminations. Also, it runs in real-time on real-world data. We show that REGROUP outperformed three group detection methods by up to 40% in terms of precision and up to 18 % in terms of recall. Also, we show that REGROUP's group tracking method outperformed three state-of-the-art methods by up to 66% in terms of tracking accuracy and 20% in terms of tracking precision. We plan to publicly release our system to support HRI teaming research and development. We hope this work will enable the development of robots that can more effectively locate and perceive their teammates, particularly in uncertain, unstructured environments.","","978-1-6654-0731-1","10.1109/HRI53351.2022.9889634","National Science Foundation(grant numbers:IIS-1734482,DGE-1650112); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9889634","human robot interaction;group detection;group tracking;social robot navigation;deep learning","Deep learning;Navigation;Robot vision systems;Lighting;Cameras;Real-time systems;Behavioral sciences","","3","","79","IEEE","29 Sep 2022","","","IEEE","IEEE Conferences"
"Dynamic Gallery for Real-Time Multi-Target Multi-Camera Tracking","Y. -S. Chou; C. -Y. Wang; M. -C. Chen; S. -D. Lin; H. -Y. M. Liao","Graduate Institute of Networking and Multimedia, National Taiwan University; Institute of Information Science, Academia Sinica; Department of Computer Science and Information Engineering, National Taitung University; Graduate Institute of Networking and Multimedia, National Taiwan University; Institute of Information Science, Academia Sinica","2019 16th IEEE International Conference on Advanced Video and Signal Based Surveillance (AVSS)","25 Nov 2019","2019","","","1","8","For multi-target multi-camera recognition tasks, tracking of objects of interest is one of the essential yet challenging issues due to the fact that the task requires re-identifying identical targets across distinct views. Multi-target multi-camera tracking (MTMCT) applications span a wide range of variety (e.g. crowd behavior analysis, anomaly individual tracking and sport player tracking), so how to make the system perform real-time tracking becomes a crucial research issue. In this paper, we propose an online hierarchical algorithm for extreme clustering based MTMCT framework. The system can automatically create a dynamic gallery with real-time fashion by collecting appearance information of multi-object tracking in single-camera view. We evaluate the effectiveness and efficiency of our framework, and compare the state-of-the-art methods on MOT16 as well as DukeMTMC for single and multiple camera tracking. The high-frame-rate performance and promising tracking results confirm our system can be used in realworld applications.","2643-6213","978-1-7281-0990-9","10.1109/AVSS.2019.8909837","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8909837","","Target tracking;Cameras;Real-time systems;Task analysis;Object detection;Proposals;Clustering algorithms","","3","","24","IEEE","25 Nov 2019","","","IEEE","IEEE Conferences"
"Learning and Features based Customer Guidance Function for Application of Smart Autonomous Mover","C. -C. Lai; C. -P. Fan","Department of Electrical Engineering, National Chung Hsing University, Taichung, Taiwan; Department of Electrical Engineering, National Chung Hsing University, Taichung, Taiwan","2022 5th World Symposium on Communication Engineering (WSCE)","25 Oct 2022","2022","","","84","88","With the development of deep-learning technologies., the combined use of artificial intelligence and embedded platforms has become increasingly prevalent., and smart autonomous mover is a critical technology. How customers in a crowd can be identified has become a major issue. In this study, we employ deep learning and machine learning technologies to distinguish customers from noncustomers on an embedded platform. The customer guidance function for autonomous mover has two stages, including pre-registration and real-time customer tracking mode. The color space technology is used to compare the registered data of customer's clothes with data acquired by the autonomous mover. Furthermore, gender recognition and face recognition are performed through a classifier. After face, clothes, and gender recognition are conducted, the system identifies the target as a customer or noncustomer. By the proposed methodology, the customer tracking performance for accuracy, precision, recall, and Fl-score is 0.924, 0.999, 0.850, and 0.918, respectively.","","978-1-6654-5057-7","10.1109/WSCE56210.2022.9916025","Ministry of Science and Technology(grant numbers:109-2218-E-005-008); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9916025","deep learning;color space;gender recognition;clothes recognition;face recognition;autonomous mover;embedded platform","Deep learning;Target tracking;Target recognition;Image color analysis;Face recognition;Space technology;Real-time systems","","","","9","IEEE","25 Oct 2022","","","IEEE","IEEE Conferences"
"R-CNN Model for the Traffic Signal Prediction","A. Kush; P. Soni","Department of Computer Science & Engineering, Chandigarh University, Mohali; Department of Computer Science & Engineering, Chandigarh University, Mohali","2022 4th International Conference on Advances in Computing, Communication Control and Networking (ICAC3N)","28 Mar 2023","2022","","","1145","1148","The density of crowd is less and the congestion speed is high, the system assumes that there is light congestion in the traffic. In intermediary conditions, traffic is characterized as moderately congested. The subsequent process introduces the process of estimating crowd density and vehicular speed on the premise of crowd segmentation and tracking. The traffic sign prediction techniques have certain steps. The deep learning model is applied for the prediction. The R-CNN is the deep learning which is the transform learning for the prediction of traffic signal. This project implements the new approach in Python software and evaluates it taking into account several performance measures.","","978-1-6654-7436-8","10.1109/ICAC3N56670.2022.10074076","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10074076","traffic signal;feature extraction;R-CNN;deep learning","Deep learning;Support vector machines;Shape;Computational modeling;Computer architecture;Transforms;Predictive models","","","","14","IEEE","28 Mar 2023","","","IEEE","IEEE Conferences"
"Anomaly and Activity Recognition Using Machine Learning Approach for Video Based Surveillance","A. Mohan; M. Choksi; M. A. Zaveri","Computer Engineering Department, Sardar Vallabhbhai National Institute of Technology, Surat, India; Computer Engineering Department, Sardar Vallabhbhai National Institute of Technology, Surat, India; Computer Engineering Department, Sardar Vallabhbhai National Institute of Technology, Surat, India","2019 10th International Conference on Computing, Communication and Networking Technologies (ICCCNT)","30 Dec 2019","2019","","","1","6","In the current era, the majority of public places such as supermarket, public garden, mall, university campus, etc. are under video surveillance. There is a need to provide essential security and monitor unusual anomaly activities at such places. The major drawback in the traditional approach, that there is a need to perform manual operation for 24 * 7 and also there are possibilities of human errors. This paper focuses on anomaly detection and activity recognition of humans in the videos. The anomaly detection system uses principal component analysis network (PCANet) and Convolutional Neural Network (CNN) to solve the problems of manual operation such as the false alarms, missing of anomalous events and locating the position of an anomaly in the video. The frames wise abnormal event is detected using principal component analysis and Support Vector Machines (SVM) classifier. The location of the abnormality in a frame is detected using Convolutional Neural Network.","","978-1-5386-5906-9","10.1109/ICCCNT45670.2019.8944396","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8944396","Video Surveillance;Activity Recognition;Machine Learning;Anomaly Detection","Feature extraction;Machine learning;Support vector machines;Event detection;Video surveillance;Integrated optics","","12","2","24","IEEE","30 Dec 2019","","","IEEE","IEEE Conferences"
"Pedestrian Detection and Feedback Application Based on YOLOv5s and DeepSORT","L. Ling; J. Tao; G. Wu","School of Artificial Intelligence, Jianghan University, Wuhan; School of Artificial Intelligence, Jianghan University, Wuhan; Educational Administration Office, Jianghan University, Wuhan","2022 34th Chinese Control and Decision Conference (CCDC)","14 Feb 2023","2022","","","5716","5721","To solve the problem of low counting efficiency of people flow supervision in scenic spots and cities, an improved YOLOv5s detection method combined with DeepSORT target tracking is proposed. As the accuracy of DeepSORT multi-target tracking depends on the detection efficiency of the target detection algorithm, the attention module CBAM is integrated with the Neck part of YOLOv5s network to improve the ability of the target detection model to extract small object features, thereby improving the recognition ability. The Market-1501 data set is used to train the pedestrian re-id model, and the images containing pedestrians in the VOC data set are used as the training set to train the detection model so that the model only detects pedestrians. Finally, connect the improved YOLOv5s detector and DeepSORT, and set a virtual detection line in the video to count the flow of people. The experimental results show that the average accuracy of the improved YOLOv5s is 1% higher than that of the original algorithm, and combined with DeepSORT tracking, the detection rate of 34 frames is achieved in the test video.","1948-9447","978-1-6654-7896-0","10.1109/CCDC55256.2022.10033779","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10033779","YOLOv5;DeepSORT;Attention mechanism;Target detection;Crowd counting","Training;Target tracking;Target recognition;Urban areas;Object detection;Detectors;Feature extraction","","4","","24","IEEE","14 Feb 2023","","","IEEE","IEEE Conferences"
